SampleID,PCo1,PCo2,PCo3,DMM_L6,Dataset,Shannon,Ethnicity_initial,Ethnicity,Group,SuperGroup,Prevotella_copri,Bacteroidaceae,Prevotellaceae,Ruminococcaceae,Lachnospiraceae,Clostridiales fam. incertae sedis,Clostridiaceae,Unclassified,Eubacteriaceae,Rikenellaceae,Firmicutes fam. incertae sedis,Oscillospiraceae,Veillonellaceae,Tannerellaceae,Bifidobacteriaceae,Bacteroidales fam. incertae sedis,Proteobacteria fam. [Acetobacteraceae/Enterobacteriaceae],Selenomonadaceae,Sutterellaceae,Firmicutes fam. [Lachnospiraceae/Lactobacillaceae],Coriobacteriaceae,Bacteria fam. incertae sedis,Acidaminococcaceae,Erysipelotrichaceae,Firmicutes fam. [Carnobacteriaceae/Acidaminococcaceae],Streptococcaceae,Akkermansiaceae,Barnesiellaceae
SAMEA2154561,0.046492831,0.078779476,0.11961002,Cluster 1,PRJEB4336,6.263729331,Denmark,Denmark,Denmark,Denmark_Cluster 1,0.001203008,0.217411677,0.005893751,0.18131628,0.139158601,0.136973523,0.0655948,0.057413881,0.047544445,0.013866264,0.014801255,0.054248688,0.016614531,0.010121155,0.009044478,0.001530364,0,0,0.004626354,0.000013,0.002246095,0.00089416,0,0.002360707,0,0.000640111,0.001736694,0.0026694
SAMEA2154620,-0.032923897,0.084255124,0.240331099,Cluster 1,PRJEB4336,6.971892996,Denmark,Denmark,Denmark,Denmark_Cluster 1,0.003669048,0.044372324,0.003706649,0.215870935,0.047533757,0.148221863,0.166812534,0.051374582,0.013715388,0.041246023,0.079742036,0.018118655,0.0000196,0.012011804,0.006546171,0.003860216,0.0000385,0,0.002283096,0.009851516,0.002350497,0.005292162,0,0.027735679,0.025426672,0.0000639,0.012898628,0.002044696
SAMEA2154726,-0.290901022,-0.233487088,-0.283363393,Cluster 3,PRJEB4336,3.44723159,Denmark,Denmark,Denmark,Denmark_Cluster 3,0.528234646,0.041306212,0.532458902,0.004833194,0.056883622,0.043497854,0.086924434,0.028667001,0.094973873,0.000464312,0,0,0.000803192,0.003846215,0,0.048187984,0,0.000612512,0,0.002211777,0,0.004979464,0.016310005,0.014144078,0,0.000563669,0,0.001574275
SAMEA2154893,0.267104247,-0.01842598,-0.077818934,Cluster 2,PRJEB4336,4.47311293,Denmark,Denmark,Denmark,Denmark_Cluster 2,0,0.425175947,0,0.062395701,0.238538799,0.058741664,0.05509351,0.025169762,0.020239777,0,0.000308876,0.018380974,0,0,0,0,0.0000422,0.050469701,0.007376789,0,0.000174284,0.008368413,0.020024685,0.000699374,0,0.000235565,0,0
SAMEA2154920,0.147377647,-0.063735101,-0.031889387,Cluster 2,PRJEB4336,4.54527942,Denmark,Denmark,Denmark,Denmark_Cluster 2,0.000373978,0.306363508,0.314911355,0.042268975,0.093529931,0.032321923,0.03369476,0.031847225,0.02052356,0.003932861,0.003410776,0.008313546,0.0001394,0.024377602,0.000509159,0,0.0000709,0,0.003817717,0.025315919,0.001426127,0.000425424,0.016910303,0.012740531,0,0.0001697,0,0.003926232
SAMEA2154930,-0.014860546,0.162861062,0.139259004,Cluster 1,PRJEB4336,6.305573569,Denmark,Denmark,Denmark,Denmark_Cluster 1,0,0.048651836,0,0.118426491,0.105745242,0.15900175,0.199312155,0.053950159,0.03013598,0.059918106,0.044152893,0.006609695,0.008267403,0.011235097,0.001407188,0.001371821,0,0,0.001422181,0.001820117,0.000386281,0.038328123,0,0.005622577,0,0.00015393,0.01295352,0.023082806
SAMEA2154992,0.113705306,0.110276386,0.112749812,Cluster 1,PRJEB4336,6.279738007,Denmark,Denmark,Denmark,Denmark_Cluster 1,0,0.15076915,0.0001548,0.127484483,0.172402578,0.071214768,0.204090726,0.07727648,0.033622023,0.030946579,0.004032825,0.004281353,0.014438663,0.012768399,0.002817998,0.022996716,0.0000784,0.0000211,0.000560659,0.004211828,0.002223555,0.000961439,0,0.00531633,0,0.014113716,0.00286989,0.017844002
SAMEA2155030,0.1032698,0.148888782,0.064775926,Cluster 1,PRJEB4336,5.972613722,Denmark,Denmark,Denmark,Denmark_Cluster 1,0,0.102322158,0.003176726,0.098043309,0.266322187,0.100966887,0.120307661,0.058362339,0.031993233,0.050821121,0.025514902,0.007986066,0,0.016912452,0.000759368,0.011888566,0.001105156,0,0.007576265,0,0.000890946,0.006578469,0.01068141,0.002277397,0,0.000888962,0.01148103,0.003036702
SAMEA2155055,0.030072691,0.114361793,0.040974241,Cluster 1,PRJEB4336,6.62323204,Denmark,Denmark,Denmark,Denmark_Cluster 1,0,0.108572167,0.009239619,0.049981464,0.153442654,0.07585679,0.251800494,0.064458946,0.106179303,0.001446574,0.026852915,0.004617512,0.000928345,0.007784819,0.000196382,0.003286397,0,0,0.006516528,0.010290073,0.000604887,0.023414435,0.014749189,0.000737551,0,0.002636873,0.000119232,0.0035146
SAMEA2155093,-0.035348857,0.030031302,0.136768717,Cluster 3,PRJEB4336,4.754876657,Denmark,Denmark,Denmark,Denmark_Cluster 3,0,0.086915273,0.423002768,0.141227272,0.069376442,0.080898043,0.013452462,0.024968809,0.024762489,0.015629605,0.010937171,0.01657878,0.031204972,0.012657257,0.003979356,0.00063961,0,0,0.004763579,0,0.002077104,0.000514022,0.000277935,0.005703999,0,0.000283477,0.0000596,0.004064409
SAMEA2155132,0.051108825,0.033107889,0.062983347,Cluster 1,PRJEB4336,5.038817175,Denmark,Denmark,Denmark,Denmark_Cluster 1,0,0.083251052,0.004592727,0.025146914,0.141739053,0.093149095,0.318870561,0.03926735,0.158992868,0.003584499,0.003739927,0.0003557,0.03649891,0,0,0.029612306,0,0,0,0.004320781,0,0.000753161,0,0.027759487,0,0,0,0.003979835
SAMEA2155134,-0.000394452,0.052410403,0.183190311,Cluster 1,PRJEB4336,6.662159743,Denmark,Denmark,Denmark,Denmark_Cluster 1,0.000838847,0.091215566,0.035854073,0.143033123,0.133993421,0.127779946,0.128210893,0.035897624,0.053678159,0.012178442,0.04367033,0.014188799,0.014245834,0.01133789,0.000260662,0.072233626,0.000207085,0,0.003681957,0.018764936,0.001344109,0.000403637,0.000119133,0.000811185,0.000453575,0.001756671,0.001156632,0.005734374
