#SampleID	BarcodeSequence	LinkerPrimerSequence	DMM_L6	Dataset	Ethnicity	Category	Description
SAMEA4545280	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545281	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545282	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545283	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545284	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545285	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545286	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545287	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545288	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632	Kazakh	Kazakh_Cluster 2	NA
SAMEA4545289	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545290	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545291	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632	Kazakh	Kazakh_Cluster 2	NA
SAMEA4545292	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545293	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545294	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545295	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545296	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545297	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545298	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545299	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545300	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545301	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545302	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545303	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545304	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545305	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545306	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545307	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545308	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545309	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545310	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545311	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545312	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545313	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545314	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545315	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545316	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545317	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545318	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545319	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545320	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545321	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545322	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545323	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545324	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545325	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545326	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545327	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545328	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545329	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545330	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545331	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545332	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545333	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545334	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545335	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545336	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545337	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545338	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545339	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545340	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545341	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545342	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545343	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545344	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545345	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545346	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632	Kazakh	Kazakh_Cluster 2	NA
SAMEA4545347	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545348	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545349	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545350	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545351	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545352	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545353	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545354	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545355	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545356	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545357	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545358	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545359	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545360	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545361	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545362	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545363	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545364	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545365	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545366	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545367	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545368	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545369	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545370	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545371	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545372	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545373	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545374	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545375	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545376	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545377	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545378	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545379	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545380	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545381	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545382	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545383	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545384	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545385	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545386	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545387	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545388	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632	Kazakh	Kazakh_Cluster 2	NA
SAMEA4545389	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632	Kazakh	Kazakh_Cluster 2	NA
SAMEA4545390	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545391	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545392	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545393	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632	Kazakh	Kazakh_Cluster 2	NA
SAMEA4545394	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545395	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545396	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545397	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545398	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545399	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545400	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545401	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545402	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545403	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545404	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545405	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545406	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545407	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545408	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545409	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545410	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545411	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545412	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545413	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545414	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545415	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545416	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545417	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545418	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545419	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545420	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545421	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545422	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545423	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545424	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545425	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545426	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545427	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545428	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545429	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545430	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545431	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545432	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545433	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545434	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545435	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545436	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545437	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545438	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545439	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545440	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545441	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545442	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545443	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545444	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545445	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545446	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632	Kazakh	Kazakh_Cluster 2	NA
SAMEA4545447	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545448	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545449	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632	Kazakh	Kazakh_Cluster 1	NA
SAMEA4545450	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545451	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632	Kazakh	Kazakh_Cluster 3	NA
SAMEA4545452	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632G	Germany	Germany_Cluster 1	NA
SAMEA4545453	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
SAMEA4545454	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632G	Germany	Germany_Cluster 1	NA
SAMEA4545455	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
SAMEA4545456	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
SAMEA4545457	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
SAMEA4545458	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
SAMEA4545459	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
SAMEA4545460	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632G	Germany	Germany_Cluster 1	NA
SAMEA4545461	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632G	Germany	Germany_Cluster 1	NA
SAMEA4545462	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632G	Germany	Germany_Cluster 1	NA
SAMEA4545463	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632G	Germany	Germany_Cluster 1	NA
SAMEA4545464	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632G	Germany	Germany_Cluster 1	NA
SAMEA4545465	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632G	Germany	Germany_Cluster 1	NA
SAMEA4545466	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632G	Germany	Germany_Cluster 1	NA
SAMEA4545467	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632G	Germany	Germany_Cluster 3	NA
SAMEA4545468	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
SAMEA4545469	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632G	Germany	Germany_Cluster 3	NA
SAMEA4545470	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632G	Germany	Germany_Cluster 3	NA
SAMEA4545471	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632G	Germany	Germany_Cluster 3	NA
SAMEA4545472	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632G	Germany	Germany_Cluster 3	NA
SAMEA4545473	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632G	Germany	Germany_Cluster 3	NA
SAMEA4545474	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632G	Germany	Germany_Cluster 3	NA
SAMEA4545475	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632G	Germany	Germany_Cluster 3	NA
SAMEA4545476	NNNNNNN	NNNNNNNNN	Cluster 3	PRJEB17632G	Germany	Germany_Cluster 3	NA
SAMEA4545477	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
SAMEA4545478	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
SAMEA4545479	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
SAMEA4545480	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
SAMEA4545481	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
SAMEA4545482	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
SAMEA4545483	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
SAMEA4545484	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
SAMEA4545485	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
SAMEA4545486	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
SAMEA4545487	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632G	Germany	Germany_Cluster 1	NA
SAMEA4545488	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632G	Germany	Germany_Cluster 1	NA
SAMEA4545489	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632G	Germany	Germany_Cluster 1	NA
SAMEA4545490	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632G	Germany	Germany_Cluster 1	NA
SAMEA4545491	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632G	Germany	Germany_Cluster 1	NA
SAMEA4545492	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632G	Germany	Germany_Cluster 1	NA
SAMEA4545493	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
SAMEA4545494	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632G	Germany	Germany_Cluster 1	NA
SAMEA4545495	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632G	Germany	Germany_Cluster 1	NA
SAMEA4545496	NNNNNNN	NNNNNNNNN	Cluster 1	PRJEB17632G	Germany	Germany_Cluster 1	NA
SAMEA4545497	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
SAMEA4545498	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
SAMEA4545499	NNNNNNN	NNNNNNNNN	Cluster 2	PRJEB17632G	Germany	Germany_Cluster 2	NA
